director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,country,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio,profit,gross_bin,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,history,horror,music,musical,mystery,romance,sci_fi,sport,thriller,war,western,director_high,director_low,actor_1_high,actor_1_low,actor_2_high,actor_2_low,actor_3_high,actor_3_low,is_english,profit_binary
Bryan Singer,169.0,0.0,903.0,Marlon Brando,18000.0,200069408.0,Kevin Spacey,Superman Returns ,29991,Frank Langella,0.0,crystal|epic|lex luthor|lois lane|return to earth,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,English,USA,PG-13,209000000.0,2006,10000.0,2.35,-8930592.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0
Marc Forster,106.0,395.0,393.0,Mathieu Amalric,451.0,168368427.0,Giancarlo Giannini,Quantum of Solace ,2023,Rory Kinnear,1.0,action hero|attempted rape|bond girl|official james bond series|revenge,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,English,UK,PG-13,200000000.0,2008,412.0,2.35,-31631573.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0
Gore Verbinski,151.0,563.0,1000.0,Orlando Bloom,40000.0,423032628.0,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,48486,Jack Davenport,2.0,box office hit|giant squid|heart|liar's dice|monster,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,English,USA,PG-13,225000000.0,2006,5000.0,2.35,198032628.0,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Gore Verbinski,150.0,563.0,1000.0,Ruth Wilson,40000.0,89289910.0,Johnny Depp,The Lone Ranger ,45757,Tom Wilkinson,1.0,horse|outlaw|texas|texas ranger|train,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,English,USA,PG-13,215000000.0,2013,2000.0,2.35,-125710090.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0
Zack Snyder,143.0,0.0,748.0,Christopher Meloni,15000.0,291021565.0,Henry Cavill,Man of Steel ,20495,Harry Lennix,0.0,based on comic book|british actor playing american character|final battle|origin of hero|reboot,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,English,USA,PG-13,225000000.0,2013,3000.0,2.35,66021565.0,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Andrew Adamson,150.0,80.0,201.0,Pierfrancesco Favino,22000.0,141614023.0,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,22697,Damián Alcázar,4.0,brother brother relationship|brother sister relationship|good versus evil|king|narnia,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,English,USA,PG,225000000.0,2008,216.0,2.35,-83385977.0,1.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0
Joss Whedon,173.0,0.0,19000.0,Robert Downey Jr.,26000.0,623279547.0,Chris Hemsworth,The Avengers ,87697,Scarlett Johansson,3.0,alien invasion|assassin|battle|iron man|soldier,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,English,USA,PG-13,220000000.0,2012,21000.0,1.85,403279547.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Rob Marshall,136.0,252.0,1000.0,Sam Claflin,40000.0,241063875.0,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,54083,Stephen Graham,4.0,blackbeard|captain|pirate|revenge|soldier,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,English,USA,PG-13,250000000.0,2011,11000.0,2.35,-8936125.0,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0
Barry Sonnenfeld,106.0,188.0,718.0,Michael Stuhlbarg,10000.0,179020854.0,Will Smith,Men in Black 3 ,12572,Nicole Scherzinger,1.0,alien|criminal|m.i.b.|maximum security prison|prison,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,English,USA,PG-13,225000000.0,2012,816.0,1.85,-45979146.0,1.0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0
Peter Jackson,164.0,0.0,773.0,Adam Brown,5000.0,255108370.0,Aidan Turner,The Hobbit: The Battle of the Five Armies ,9152,James Nesbitt,0.0,army|elf|hobbit|middle earth|orc,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,English,New Zealand,PG-13,250000000.0,2014,972.0,2.35,5108370.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Marc Webb,153.0,464.0,963.0,Andrew Garfield,15000.0,262030663.0,Emma Stone,The Amazing Spider-Man ,28489,Chris Zylka,0.0,lizard|outcast|spider|spider man|teenager,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,English,USA,PG-13,230000000.0,2012,10000.0,2.35,32030663.0,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Ridley Scott,156.0,0.0,738.0,William Hurt,891.0,105219735.0,Mark Addy,Robin Hood ,3244,Scott Grimes,0.0,1190s|archer|england|king of england|robin hood,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,English,USA,PG-13,200000000.0,2010,882.0,2.35,-94780265.0,1.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
Peter Jackson,186.0,0.0,773.0,Adam Brown,5000.0,258355354.0,Aidan Turner,The Hobbit: The Desolation of Smaug ,9152,James Nesbitt,6.0,dwarf|elf|lake town|mountain|sword and sorcery,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,English,USA,PG-13,225000000.0,2013,972.0,2.35,33355354.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Chris Weitz,113.0,129.0,1000.0,Eva Green,16000.0,70083519.0,Christopher Lee,The Golden Compass ,24106,Kristin Scott Thomas,2.0,children|epic|friend|girl|quest,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,English,USA,PG-13,180000000.0,2007,6000.0,2.35,-109916481.0,1.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0
Peter Jackson,201.0,0.0,84.0,Thomas Kretschmann,6000.0,218051260.0,Naomi Watts,King Kong ,7123,Evan Parke,0.0,animal name in title|ape abducts a woman|gorilla|island|king kong,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,English,New Zealand,PG-13,207000000.0,2005,919.0,2.35,11051260.0,1.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1
James Cameron,194.0,0.0,794.0,Kate Winslet,29000.0,658672302.0,Leonardo DiCaprio,Titanic ,45223,Gloria Stuart,0.0,artist|love|ship|titanic|wet,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,English,USA,PG-13,200000000.0,1997,14000.0,2.35,458672302.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Anthony Russo,147.0,94.0,11000.0,Scarlett Johansson,21000.0,407197282.0,Robert Downey Jr.,Captain America: Civil War ,64798,Chris Evans,0.0,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,English,USA,PG-13,250000000.0,2016,19000.0,2.35,157197282.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Peter Berg,131.0,532.0,627.0,Alexander Skarsgård,14000.0,65173160.0,Liam Neeson,Battleship ,26679,Tadanobu Asano,0.0,box office flop|hawaii|naval|oahu hawaii|ship,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,English,USA,PG-13,209000000.0,2012,10000.0,2.35,-143826840.0,0.6666666666666666,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0
Colin Trevorrow,124.0,365.0,1000.0,Judy Greer,3000.0,652177271.0,Bryce Dallas Howard,Jurassic World ,8458,Omar Sy,0.0,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,English,USA,PG-13,150000000.0,2015,2000.0,2.0,502177271.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1
Sam Mendes,143.0,0.0,393.0,Helen McCrory,883.0,304360277.0,Albert Finney,Skyfall ,2039,Rory Kinnear,0.0,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,English,UK,PG-13,200000000.0,2012,563.0,2.35,104360277.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1
Sam Raimi,135.0,0.0,4000.0,James Franco,24000.0,373377893.0,J.K. Simmons,Spider-Man 2 ,43388,Kirsten Dunst,1.0,death|doctor|scientist|super villain|tentacle,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,English,USA,PG-13,200000000.0,2004,11000.0,2.35,173377893.0,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Shane Black,195.0,1000.0,3000.0,Jon Favreau,21000.0,408992272.0,Robert Downey Jr.,Iron Man 3 ,30426,Don Cheadle,3.0,armor|explosion|human bomb|missile attack|terrorist,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,English,USA,PG-13,200000000.0,2013,4000.0,2.35,208992272.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Tim Burton,108.0,13000.0,11000.0,Alan Rickman,40000.0,334185206.0,Johnny Depp,Alice in Wonderland ,79957,Anne Hathaway,0.0,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,English,USA,PG,200000000.0,2010,25000.0,1.85,134185206.0,1.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Brett Ratner,104.0,420.0,560.0,Kelsey Grammer,20000.0,234360014.0,Hugh Jackman,X-Men: The Last Stand ,21714,Daniel Cudmore,0.0,battle|mutant|outrage|walking through a wall|x men,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,English,Canada,PG-13,210000000.0,2006,808.0,2.35,24360014.0,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1
Dan Scanlon,104.0,37.0,760.0,Tyler Labine,12000.0,268488329.0,Steve Buscemi,Monsters University ,14863,Sean Hayes,0.0,cheating|fraternity|monster|singing in a car|university,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,English,USA,G,200000000.0,2013,779.0,1.85,68488329.0,1.0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Michael Bay,150.0,0.0,464.0,Kevin Dunn,894.0,402076689.0,Glenn Morshower,Transformers: Revenge of the Fallen ,3218,Ramon Rodriguez,0.0,autobot|decepticon|machine|sun|symbol,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,English,USA,PG-13,200000000.0,2009,581.0,2.35,202076689.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Michael Bay,165.0,0.0,808.0,Sophia Myles,974.0,245428137.0,Bingbing Li,Transformers: Age of Extinction ,3988,Kelsey Grammer,2.0,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,English,USA,PG-13,210000000.0,2014,956.0,2.35,35428137.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Sam Raimi,130.0,0.0,11000.0,Mila Kunis,44000.0,234903076.0,Tim Holmes,Oz the Great and Powerful ,73441,James Franco,4.0,circus|magic|magician|oz|witch,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,English,USA,PG,215000000.0,2013,15000.0,2.35,19903076.0,1.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Marc Webb,142.0,464.0,825.0,Andrew Garfield,15000.0,202853933.0,Emma Stone,The Amazing Spider-Man 2 ,28631,B.J. Novak,0.0,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,English,USA,PG-13,200000000.0,2014,10000.0,2.35,2853933.0,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Joseph Kosinski,125.0,364.0,1000.0,Olivia Wilde,12000.0,172051787.0,Jeff Bridges,TRON: Legacy ,25550,James Frain,0.0,arcade|bridge|disappearance|escape|warrior,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,English,USA,PG,170000000.0,2010,10000.0,2.35,2051787.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1
John Lasseter,106.0,487.0,776.0,Thomas Kretschmann,1000.0,191450875.0,Joe Mantegna,Cars 2 ,4482,Eddie Izzard,0.0,best friend|car race|conspiracy|gadget car|spy,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,English,USA,G,200000000.0,2011,919.0,2.35,-8549125.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0
Martin Campbell,123.0,258.0,326.0,Temuera Morrison,16000.0,116593191.0,Ryan Reynolds,Green Lantern ,17657,Taika Waititi,2.0,autopsy|lantern|planet|ring|test pilot,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,English,USA,PG-13,200000000.0,2011,368.0,2.35,-83406809.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0
Lee Unkrich,103.0,125.0,721.0,John Ratzenberger,15000.0,414984497.0,Tom Hanks,Toy Story 3 ,19085,Don Rickles,3.0,college|day care|escape|teddy bear|toy,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,English,USA,G,200000000.0,2010,1000.0,1.85,214984497.0,1.0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1
McG,118.0,368.0,988.0,Bryce Dallas Howard,23000.0,125320003.0,Christian Bale,Terminator Salvation ,27468,Common,0.0,death row|future|machine|rescue|skynet,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,English,USA,PG-13,200000000.0,2009,3000.0,2.35,-74679997.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0
James Wan,140.0,0.0,14000.0,Paul Walker,26000.0,350034110.0,Jason Statham,Furious 7 ,79150,Vin Diesel,0.0,car falling off a cliff|hospital|revenge|star died before release|terrorist,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,English,USA,PG-13,190000000.0,2015,23000.0,2.35,160034110.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1
Marc Forster,123.0,395.0,1000.0,Brad Pitt,17000.0,202351611.0,Peter Capaldi,World War Z ,32392,Mireille Enos,0.0,chaos|disease|infection|pandemic|zombie,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,English,USA,PG-13,190000000.0,2013,11000.0,2.35,12351611.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1
Bryan Singer,149.0,0.0,20000.0,Peter Dinklage,34000.0,233914986.0,Jennifer Lawrence,X-Men: Days of Future Past ,91434,Hugh Jackman,7.0,dystopia|super strength|supernatural power|time paradox|time travel,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,English,USA,PG-13,200000000.0,2014,22000.0,2.35,33914986.0,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1
J.J. Abrams,132.0,14000.0,928.0,Bruce Greenwood,19000.0,228756232.0,Benedict Cumberbatch,Star Trek Into Darkness ,21411,Noel Clarke,0.0,admiral|captain|manhunt|mission|space,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,English,USA,PG-13,190000000.0,2013,981.0,2.35,38756232.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Bryan Singer,114.0,0.0,140.0,Ewen Bremner,979.0,65171860.0,Eddie Marsan,Jack the Giant Slayer ,1766,Ralph Brown,1.0,bean|giant|king|no opening credits|princess,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,English,USA,PG-13,195000000.0,2013,557.0,2.35,-129828140.0,0.6666666666666666,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
Baz Luhrmann,143.0,1000.0,77.0,Elizabeth Debicki,29000.0,144812796.0,Leonardo DiCaprio,The Great Gatsby ,29770,Steve Bisley,4.0,ingratitude|mansion|party|title appears in writing|tragedy,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,English,Australia,PG-13,105000000.0,2013,509.0,2.35,39812796.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Mike Newell,116.0,179.0,236.0,Richard Coyle,15000.0,90755643.0,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,16149,Reece Ritchie,2.0,alamut|dagger|king|persia|princess,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,English,USA,PG-13,200000000.0,2010,567.0,2.35,-109244357.0,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0
Guillermo del Toro,131.0,0.0,919.0,Clifton Collins Jr.,16000.0,101785482.0,Charlie Hunnam,Pacific Rim ,19166,Larry Joe Campbell,0.0,giant monster|kaiju|pilot|portal|robot,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,English,USA,PG-13,190000000.0,2013,968.0,1.85,-88214518.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0
Michael Bay,154.0,0.0,581.0,Lester Speight,894.0,352358779.0,Glenn Morshower,Transformers: Dark of the Moon ,2593,Kevin Dunn,2.0,autobot|decepticon|job interview|moon|spacecraft,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,English,USA,PG-13,195000000.0,2011,829.0,2.35,157358779.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Steven Spielberg,122.0,14000.0,1000.0,Ray Winstone,11000.0,317011114.0,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,14959,Jim Broadbent,2.0,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,English,USA,PG-13,185000000.0,2008,1000.0,2.35,132011114.0,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Mark Andrews,93.0,56.0,838.0,John Ratzenberger,2000.0,237282182.0,Kelly Macdonald,Brave ,5005,Julie Walters,0.0,archery|coming of age|female warrior|princess|rebellious daughter,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,English,USA,PG,185000000.0,2012,1000.0,2.35,52282182.0,1.0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Justin Lin,122.0,681.0,105.0,Melissa Roxburgh,998.0,130468626.0,Sofia Boutella,Star Trek Beyond ,1327,Lydia Wilson,4.0,hatred|sequel|space opera|star trek|third part,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,English,USA,PG-13,185000000.0,2016,119.0,2.35,-54531374.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0
Andrew Stanton,98.0,475.0,522.0,Fred Willard,1000.0,223806889.0,John Ratzenberger,WALL·E ,2975,Jeff Garlin,0.0,earth|obesity|plant|robot|soil,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,English,USA,G,180000000.0,2008,729.0,2.35,43806889.0,1.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1
