duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,cast_total_facebook_likes,facenumber_in_poster,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,profit
88.0,181.0,11.0,15000.0,28011,4.0,2009.0,13000.0,7.7,2.35,26000,51990286.0
107.0,0.0,289.0,572.0,1627,2.0,2005.0,324.0,7.5,2.35,0,-9976725.0
101.0,0.0,888.0,3000.0,5056,0.0,2013.0,1000.0,7.0,2.35,23000,-17680813.0
93.0,131.0,90.0,497.0,776,1.0,2007.0,113.0,6.5,2.55,830,-1573149.0
82.0,248.0,196.0,353.0,1498,0.0,2010.0,248.0,5.8,1.85,46000,-401983.0
112.0,230.0,12000.0,26000.0,59803,3.0,2013.0,20000.0,7.1,2.35,63000,36360018.0
101.0,57.0,230.0,1000.0,1947,1.0,2009.0,603.0,5.5,2.35,0,-24731154.0
173.0,0.0,19000.0,26000.0,87697,3.0,2012.0,21000.0,8.1,1.85,123000,403279547.0
98.0,35.0,16.0,125.0,189,0.0,2009.0,37.0,6.5,2.35,0,9975979.0
123.0,6.0,85.0,541.0,908,0.0,2006.0,249.0,6.3,2.35,0,-6608826.0
131.0,188.0,641.0,10000.0,21840,0.0,2015.0,10000.0,7.4,2.35,47000,45000874.0
112.0,44.0,533.0,1000.0,2115,0.0,2005.0,580.0,6.0,2.35,265,-24922769.0
118.0,49.0,155.0,11000.0,11662,1.0,2001.0,216.0,6.0,2.35,3000,-25747235.0
87.0,23.0,748.0,826.0,4473,4.0,2006.0,816.0,4.8,2.35,0,-20519686.0
105.0,99.0,433.0,3000.0,5740,5.0,2012.0,448.0,6.1,1.85,0,52264926.0
88.0,82.0,571.0,756.0,4378,0.0,2009.0,713.0,3.5,1.85,657,615792.0
99.0,26.0,650.0,720.0,3327,5.0,2007.0,669.0,5.9,2.35,590,5584685.0
133.0,278.0,107.0,5000.0,5405,0.0,2007.0,117.0,7.4,2.35,14000,-20656327.0
134.0,0.0,346.0,20000.0,20952,4.0,2003.0,505.0,7.5,2.35,0,104948780.0
94.0,10.0,141.0,694.0,1668,2.0,2001.0,605.0,6.0,1.85,433,-21735014.0
102.0,0.0,787.0,14000.0,18643,1.0,1993.0,1000.0,7.7,1.85,10000,1093039.0
123.0,0.0,648.0,3000.0,5505,0.0,2016.0,716.0,7.3,2.35,89000,-113021005.0
95.0,40.0,342.0,663.0,2266,0.0,1997.0,349.0,3.7,1.85,1000,5927406.0
150.0,0.0,855.0,23000.0,27829,0.0,2005.0,909.0,6.7,2.35,0,-17287907.0
103.0,78.0,101.0,488.0,991,1.0,2004.0,336.0,6.9,1.85,973,-2127109510.0
99.0,4.0,201.0,1000.0,1558,0.0,2008.0,233.0,5.2,1.85,0,-881622.0
93.0,8.0,33.0,553.0,786,1.0,2006.0,177.0,6.8,2.35,0,-7701890.0
110.0,107.0,45.0,576.0,776,1.0,2004.0,133.0,6.9,2.35,171,131507.0
108.0,23.0,845.0,2000.0,4710,0.0,2016.0,860.0,5.8,2.35,73000,-17092709.0
115.0,187.0,887.0,14000.0,17104,4.0,2000.0,900.0,6.5,2.35,141,-19596068.0
116.0,12000.0,552.0,22000.0,24618,3.0,1996.0,617.0,5.8,2.35,0,-36426209.0
127.0,79.0,50.0,12000.0,12574,1.0,2005.0,506.0,7.9,2.35,11000,-19871876.0
115.0,529.0,325.0,576.0,1554,0.0,2013.0,447.0,6.7,2.35,23000,43346930.0
126.0,584.0,398.0,11000.0,12286,5.0,2013.0,557.0,7.0,1.85,58000,-34636971.0
87.0,49.0,59.0,309.0,707,0.0,1981.0,121.0,6.1,1.85,0,17850000.0
107.0,58.0,47.0,141.0,389,2.0,2016.0,76.0,6.3,2.35,21000,16874745.0
105.0,153.0,491.0,4000.0,6727,2.0,2012.0,828.0,6.5,1.85,17000,3290318.0
95.0,213.0,92.0,225.0,791,0.0,1983.0,174.0,6.1,1.85,0,90900000.0
110.0,152.0,27.0,22000.0,22140,1.0,2005.0,68.0,7.4,2.35,0,21747570.0
92.0,11.0,1000.0,26000.0,39518,2.0,2005.0,11000.0,6.6,2.35,0,-1333.0
96.0,0.0,262.0,1000.0,2635,1.0,2009.0,848.0,8.3,1.85,27000,117979556.0
105.0,160.0,491.0,852.0,2604,0.0,2006.0,521.0,5.6,2.35,4000,1014398.0
99.0,119.0,174.0,600.0,1375,0.0,2012.0,346.0,6.4,2.35,59000,-5382932.0
189.0,0.0,693.0,15000.0,17716,0.0,1999.0,745.0,8.5,1.85,30000,76801374.0
117.0,89.0,442.0,12000.0,13576,1.0,1999.0,541.0,7.2,2.35,0,2862501.0
112.0,1000.0,719.0,10000.0,12687,0.0,2010.0,1000.0,7.5,1.85,36000,-28505730.0
85.0,9.0,100.0,567.0,1145,0.0,2005.0,269.0,7.5,1.85,0,26068547.0
90.0,38.0,882.0,2000.0,6775,4.0,2008.0,897.0,6.6,2.35,0,32266306.0
130.0,81.0,427.0,10000.0,12186,0.0,1998.0,882.0,5.1,2.35,0,-10897090.0
103.0,0.0,346.0,1000.0,2857,0.0,2010.0,756.0,4.2,2.35,18000,-18435269.0
75.0,45.0,0.0,5.0,7,0.0,1997.0,2.0,7.0,1.85,178,-46866.0
90.0,65.0,683.0,1000.0,3155,0.0,2005.0,989.0,5.9,2.35,816,9042266.0
110.0,16.0,692.0,2000.0,5320,0.0,1999.0,710.0,4.1,1.85,509,22360069.0
86.0,62.0,59.0,390.0,727,1.0,2009.0,258.0,5.8,2.35,0,5993605.0
85.0,42.0,586.0,20000.0,35161,0.0,2006.0,14000.0,6.7,1.85,0,-84540684.0
108.0,480.0,579.0,970.0,4374,1.0,2006.0,931.0,5.9,2.35,484,-2196204.0
143.0,541.0,530.0,18000.0,20660,0.0,2004.0,893.0,7.4,2.35,0,-18774204.0
101.0,53.0,580.0,14000.0,16926,1.0,2015.0,1000.0,6.6,2.35,25000,-6349262.0
114.0,335.0,530.0,11000.0,12624,3.0,2002.0,577.0,7.6,1.85,0,16597830.0
148.0,0.0,0.0,3.0,5,0.0,1999.0,2.0,6.8,2.35,633,-34369221.0
113.0,13000.0,16000.0,40000.0,80849,7.0,2012.0,17000.0,6.2,1.85,82000,-20288322.0
111.0,0.0,591.0,18000.0,37645,0.0,1993.0,18000.0,7.4,1.85,0,14551000.0
125.0,420.0,627.0,12000.0,16646,1.0,2000.0,3000.0,6.7,2.35,0,15764085.0
144.0,0.0,16.0,63.0,167,0.0,2009.0,43.0,7.8,1.85,0,-9777353.0
124.0,50.0,427.0,8000.0,9255,1.0,1999.0,437.0,7.0,2.35,11000,74006080.0
119.0,394.0,162.0,12000.0,13071,0.0,2010.0,490.0,5.8,1.85,0,-88062505.0
150.0,610.0,478.0,755.0,2172,4.0,2008.0,643.0,7.4,2.35,0,-553005191.0
118.0,108.0,103.0,173.0,563,0.0,1999.0,148.0,7.6,1.85,0,9533945.0
101.0,57.0,230.0,1000.0,1947,1.0,2009.0,603.0,5.5,2.35,0,-24731154.0
103.0,0.0,801.0,21000.0,25263,1.0,1995.0,1000.0,6.6,1.85,0,-2481780.0
98.0,35.0,16.0,125.0,189,0.0,2009.0,37.0,6.5,2.35,0,9975979.0
87.0,47.0,217.0,19000.0,20097,0.0,2004.0,542.0,7.0,1.85,0,55416609.0
140.0,310.0,619.0,33000.0,34413,3.0,2012.0,748.0,7.3,2.35,47000,6383298.0
122.0,380.0,2000.0,18000.0,32930,3.0,1989.0,11000.0,7.9,1.85,0,8830000.0
128.0,521.0,249.0,591.0,2100,1.0,2005.0,249.0,6.4,2.35,0,-7484640.0
111.0,17.0,652.0,13000.0,16537,1.0,1998.0,969.0,6.1,2.35,0,-27059493.0
103.0,10.0,7.0,21.0,58,3.0,2015.0,18.0,6.1,2.35,0,-64927587.0
106.0,44.0,552.0,33000.0,34351,1.0,2007.0,730.0,7.4,1.85,19000,-6050307.0
95.0,24.0,426.0,931.0,3322,6.0,2013.0,539.0,5.3,2.35,0,-5876166.0
125.0,252.0,10000.0,40000.0,62837,1.0,2014.0,11000.0,6.0,2.39,90000,77997349.0
91.0,77.0,208.0,1000.0,1804,1.0,2005.0,311.0,6.3,1.85,0,53200012.0
107.0,0.0,167.0,11000.0,11623,0.0,2007.0,372.0,7.3,2.35,15000,-22324928.0
109.0,300.0,200.0,729.0,1292,0.0,1996.0,257.0,6.0,1.85,0,1109095.0
121.0,175.0,221.0,963.0,2131,0.0,2015.0,580.0,7.1,2.35,40000,-11752860.0
135.0,503.0,67.0,8000.0,8355,1.0,1997.0,137.0,6.7,2.35,0,1081498.0
115.0,79.0,820.0,18000.0,36237,1.0,2012.0,16000.0,6.8,2.35,19000,41149655.0
91.0,39.0,562.0,1000.0,3104,1.0,2013.0,591.0,5.9,1.85,0,747724.0
119.0,13000.0,567.0,1000.0,2776,0.0,2001.0,658.0,5.7,2.35,0,80011740.0
107.0,14000.0,845.0,2000.0,4631,1.0,2011.0,871.0,7.4,2.35,44000,-57435963.0
150.0,163.0,636.0,2000.0,4168,1.0,2008.0,716.0,6.7,1.85,8000,-8359756.0
99.0,88.0,328.0,11000.0,12952,2.0,2004.0,427.0,6.8,2.35,11000,45776832.0
95.0,3.0,448.0,905.0,3185,0.0,2008.0,513.0,6.0,2.35,3000,-7891338.0
106.0,50.0,741.0,17000.0,21711,2.0,2010.0,908.0,6.6,2.35,0,-6428265.0
100.0,97.0,2000.0,11000.0,22128,0.0,2014.0,8000.0,7.8,2.35,64000,197756197.0
92.0,28.0,423.0,3000.0,5178,1.0,2014.0,692.0,6.3,2.35,37000,-14057170.0
85.0,65.0,535.0,942.0,3708,0.0,2013.0,810.0,5.7,2.35,31000,61423650.0
131.0,274.0,138.0,11000.0,12522,2.0,2004.0,964.0,6.5,1.85,0,-37955679.0
80.0,0.0,362.0,971.0,3017,0.0,2003.0,503.0,5.6,2.35,329,14399750.0
108.0,50.0,494.0,14000.0,16722,1.0,2007.0,975.0,5.9,2.35,0,-13069116.0
130.0,0.0,650.0,1000.0,3133,1.0,2012.0,660.0,7.7,2.35,89000,91519448.0
108.0,750.0,971.0,49000.0,70996,0.0,2006.0,20000.0,6.5,2.35,0,97992827.0
144.0,0.0,195.0,786.0,1674,0.0,2005.0,228.0,6.7,1.85,957,-7116045.0
125.0,34.0,1000.0,16000.0,21622,0.0,2001.0,4000.0,7.5,2.35,0,-2438373.0
105.0,65.0,108.0,628.0,1265,0.0,2001.0,316.0,6.2,2.35,0,-40008098.0
108.0,0.0,882.0,3000.0,7273,0.0,2004.0,2000.0,6.5,1.85,0,54195633.0
215.0,0.0,413.0,986.0,2530,1.0,2009.0,745.0,7.7,2.35,18000,-22496684.0
142.0,378.0,575.0,34000.0,49942,0.0,2012.0,14000.0,7.3,2.35,140000,329999255.0
125.0,46.0,249.0,368.0,1651,0.0,1981.0,303.0,7.2,1.85,0,53300000.0
102.0,49.0,10000.0,24000.0,51355,1.0,2012.0,14000.0,7.1,1.85,21000,5434867.0
98.0,15000.0,392.0,15000.0,16827,0.0,2011.0,839.0,6.1,2.35,0,5565975.0
153.0,16000.0,11000.0,13000.0,36741,1.0,2009.0,11000.0,8.3,2.35,42000,45523073.0
98.0,129.0,7.0,303.0,337,0.0,2013.0,18.0,6.9,2.35,81000,31359959.0
92.0,39.0,458.0,3000.0,4518,0.0,1997.0,562.0,5.4,1.85,5000,50263257.0
120.0,155.0,240.0,344.0,2054,3.0,1993.0,242.0,7.1,1.85,0,4733909.0
113.0,174.0,767.0,14000.0,17152,3.0,2011.0,903.0,6.9,2.35,29000,31094903.0
86.0,18.0,300.0,1000.0,2665,0.0,2012.0,466.0,5.0,1.85,24000,17112929.0
80.0,11.0,499.0,911.0,3058,2.0,2002.0,521.0,3.3,1.85,1000,24363530.0
86.0,302.0,428.0,893.0,3049,2.0,2001.0,798.0,6.2,1.85,117,-9773208.0
104.0,0.0,877.0,2000.0,5123,0.0,1998.0,1000.0,6.1,2.35,0,241395.0
90.0,13.0,613.0,882.0,2661,2.0,2002.0,874.0,6.7,2.35,0,4158074.0
115.0,219.0,258.0,902.0,2466,1.0,2009.0,837.0,5.6,2.35,0,-954324.0
95.0,57.0,233.0,727.0,1836,0.0,2015.0,442.0,7.1,2.35,10000,-1780971.0
99.0,64.0,918.0,13000.0,17204,1.0,2011.0,2000.0,7.0,2.35,17000,8197405.0
130.0,198.0,884.0,10000.0,14363,0.0,2014.0,2000.0,7.6,1.85,45000,38543795.0
212.0,0.0,805.0,12000.0,21130,0.0,1995.0,5000.0,7.1,2.35,915,-36439040.0
100.0,21.0,552.0,14000.0,15922,5.0,2012.0,618.0,6.1,2.35,0,11746550.0
85.0,91.0,849.0,1000.0,4289,1.0,1999.0,1000.0,6.6,1.85,0,999853.0
103.0,0.0,925.0,3000.0,7521,5.0,1990.0,1000.0,7.5,1.85,20000,267761243.0
103.0,30.0,727.0,963.0,3150,2.0,2009.0,935.0,4.7,2.35,0,-28419913.0
105.0,25.0,51.0,461.0,615,0.0,2015.0,79.0,7.2,2.35,12000,-33873489.0
92.0,12.0,1000.0,35000.0,38450,0.0,2015.0,1000.0,5.0,1.85,0,-4115185.0
106.0,12.0,595.0,962.0,4239,1.0,2001.0,844.0,5.8,2.35,804,-12048569.0
98.0,53.0,65.0,530.0,1038,1.0,2010.0,238.0,6.5,2.35,0,-631531.0
105.0,154.0,502.0,884.0,2288,0.0,2007.0,617.0,6.9,1.85,0,60050171.0
115.0,541.0,442.0,8000.0,10493,5.0,1990.0,1000.0,6.6,2.35,0,35490000.0
119.0,12000.0,643.0,12000.0,15449,5.0,1986.0,664.0,7.3,2.35,0,84713132.0
92.0,0.0,18.0,1000.0,1055,1.0,1947.0,29.0,7.7,1.37,0,-2292073.0
98.0,12.0,663.0,4000.0,9330,1.0,2004.0,4000.0,6.3,2.35,0,-14168495.0
123.0,446.0,821.0,20000.0,22209,1.0,2001.0,1000.0,6.4,1.85,0,-904547.0
83.0,5.0,368.0,971.0,3438,0.0,1998.0,503.0,5.9,1.85,418,76491683.0
88.0,91.0,591.0,4000.0,6254,0.0,2012.0,796.0,6.7,2.35,0,-23948874.0
132.0,50.0,368.0,992.0,1933,0.0,2006.0,495.0,6.6,2.35,0,-3017368.0
101.0,0.0,764.0,12000.0,15935,0.0,1996.0,898.0,5.7,2.35,0,-24592750.0
97.0,117.0,556.0,851.0,3036,2.0,1993.0,582.0,7.5,1.85,0,24400000.0
123.0,176.0,749.0,975.0,4825,7.0,2013.0,815.0,6.6,2.35,24000,116578352.0
84.0,119.0,918.0,989.0,4660,3.0,1998.0,982.0,5.5,1.85,673,2411331.0
88.0,0.0,46.0,539.0,708,0.0,1986.0,53.0,6.5,1.85,406,6962502.0
102.0,0.0,876.0,40000.0,46186,1.0,2003.0,4000.0,6.4,1.78,0,26845943.0
101.0,6000.0,2.0,6.0,13,0.0,2008.0,3.0,7.7,1.85,0,-18918217.0
103.0,80.0,782.0,1000.0,4676,0.0,2004.0,872.0,5.9,2.35,1000,-4588020.0
124.0,364.0,1000.0,11000.0,22004,0.0,2013.0,10000.0,7.0,2.35,71000,-30978265.0
108.0,7.0,51.0,699.0,936,1.0,1987.0,63.0,6.8,1.85,0,47715416.0
155.0,58.0,720.0,25000.0,38518,0.0,1991.0,11000.0,6.9,1.85,0,117500000.0
178.0,0.0,403.0,906.0,1976,1.0,1995.0,466.0,8.4,2.35,17000,3600000.0
92.0,26.0,417.0,1000.0,2687,0.0,2000.0,905.0,5.3,2.35,859,-2981550.0
129.0,81.0,164.0,970.0,2551,0.0,1992.0,854.0,6.1,1.85,0,96945720.0
86.0,70.0,169.0,878.0,2165,5.0,2001.0,834.0,5.4,2.35,613,-3602635.0
76.0,2.0,72.0,1000.0,1908,0.0,2005.0,766.0,5.6,1.85,538,-15552522.0
104.0,109.0,202.0,405.0,847,2.0,2004.0,204.0,7.1,1.85,562,-10260951.0
91.0,48.0,39.0,61.0,222,8.0,2012.0,46.0,5.9,2.35,0,-21561851.0
100.0,15.0,388.0,694.0,2486,1.0,1996.0,558.0,5.9,1.85,833,13539321.0
89.0,31.0,71.0,285.0,667,0.0,1998.0,81.0,5.3,1.85,0,7368960.0
115.0,98.0,4.0,341.0,371,3.0,1998.0,26.0,7.2,2.0,539,-698312689.0
93.0,0.0,947.0,17000.0,31187,5.0,2011.0,13000.0,5.8,2.35,0,-4065142.0
123.0,395.0,1000.0,17000.0,32392,0.0,2013.0,11000.0,7.0,2.35,129000,12351611.0
112.0,337.0,201.0,4000.0,5671,0.0,2016.0,820.0,6.7,2.35,0,-14292206.0
129.0,81.0,164.0,970.0,2551,0.0,1992.0,854.0,6.1,1.85,0,96945720.0
107.0,36.0,118.0,283.0,662,2.0,2007.0,142.0,7.1,2.35,0,42706877.0
130.0,92.0,177.0,244.0,1164,1.0,1965.0,189.0,7.0,2.35,0,54600000.0
81.0,406.0,616.0,13000.0,17035,0.0,1996.0,2000.0,6.8,1.85,0,51071133.0
123.0,0.0,6.0,23000.0,23031,0.0,2015.0,22.0,7.4,2.35,24000,-24862498.0
97.0,387.0,64.0,6000.0,6322,2.0,2014.0,139.0,6.3,1.85,0,-2425934.0
125.0,21.0,581.0,12000.0,15811,1.0,2006.0,2000.0,6.9,2.35,0,8432823.0
134.0,37.0,504.0,11000.0,13649,0.0,1983.0,1000.0,8.4,2.35,14000,276625409.0
93.0,0.0,566.0,21000.0,22745,0.0,2005.0,650.0,7.5,1.85,0,24001218.0
114.0,0.0,582.0,982.0,2753,5.0,2012.0,618.0,4.8,1.85,0,45623128.0
93.0,253.0,637.0,3000.0,5580,0.0,2001.0,889.0,4.7,1.85,683,-69590483.0
84.0,23.0,706.0,1000.0,4815,3.0,2009.0,927.0,5.9,1.85,545,7017041.0
75.0,0.0,677.0,4000.0,6863,3.0,2006.0,769.0,4.5,1.85,261,-31480159.0
97.0,181.0,748.0,11000.0,14025,1.0,2012.0,820.0,6.2,2.35,20000,-61430.0
117.0,234.0,919.0,11000.0,15590,3.0,2008.0,989.0,7.0,2.35,0,60341380.0
97.0,0.0,117.0,378.0,1173,1.0,2001.0,321.0,6.7,1.85,682,6022940.0
128.0,88.0,954.0,989.0,3386,0.0,2015.0,970.0,7.1,2.35,23000,3432299.0
118.0,76.0,249.0,902.0,2079,0.0,1981.0,488.0,5.2,2.35,106,-13200000.0
130.0,129.0,12000.0,21000.0,64040,2.0,2009.0,17000.0,4.6,2.35,13000,246623634.0
162.0,21000.0,495.0,21000.0,36928,0.0,2007.0,15000.0,7.7,2.35,12000,-31951647.0
91.0,23.0,629.0,925.0,2913,2.0,1998.0,660.0,5.0,1.85,247,-4556684.0
87.0,0.0,153.0,1000.0,1362,0.0,1998.0,184.0,5.3,1.85,30,476767.0
150.0,14000.0,655.0,23000.0,25517,0.0,2012.0,826.0,7.4,2.35,71000,117204440.0
101.0,0.0,888.0,3000.0,5056,0.0,2013.0,1000.0,7.0,2.35,23000,-17680813.0
121.0,0.0,854.0,19000.0,22833,0.0,2006.0,972.0,5.6,2.35,0,-27481675.0
115.0,272.0,1000.0,49000.0,52571,1.0,2006.0,2000.0,6.2,2.35,0,17442180.0
85.0,0.0,209.0,945.0,2282,1.0,2000.0,774.0,6.3,1.85,614,-1234893.0
122.0,209.0,934.0,17000.0,31958,6.0,2013.0,12000.0,5.8,2.35,42000,-7487948.0
118.0,43.0,7000.0,33000.0,57426,7.0,2011.0,15000.0,7.4,2.39,44000,34244877.0
99.0,309.0,577.0,23000.0,26527,0.0,2000.0,1000.0,5.9,2.35,0,24327868.0
206.0,0.0,591.0,12000.0,24598,3.0,2004.0,11000.0,5.5,2.35,0,-120706229.0
85.0,65.0,535.0,942.0,3708,0.0,2013.0,810.0,5.7,2.35,31000,61423650.0
123.0,64.0,637.0,808.0,5734,0.0,2009.0,720.0,5.0,2.35,0,4452209.0
119.0,0.0,502.0,23000.0,37387,0.0,2012.0,13000.0,7.4,2.35,75000,36468315.0
112.0,380.0,2000.0,15000.0,31278,0.0,2010.0,11000.0,6.7,1.85,24000,2357532.0
87.0,255.0,810.0,26000.0,29050,1.0,2005.0,1000.0,6.3,2.35,0,11095600.0
95.0,34.0,368.0,554.0,2216,1.0,2000.0,439.0,5.7,1.85,0,-8444012.0
99.0,24.0,864.0,18000.0,20276,3.0,2016.0,992.0,5.9,2.35,28000,2401264.0
85.0,0.0,82.0,11000.0,11301,0.0,2003.0,102.0,6.7,1.66,880,-33711680.0
120.0,0.0,38.0,717.0,852,0.0,2003.0,78.0,8.4,2.35,43000,-818710.0
100.0,0.0,440.0,488.0,2428,0.0,1999.0,488.0,3.5,1.37,129,5110552.0
111.0,122.0,25.0,918.0,1252,0.0,2008.0,278.0,6.7,2.35,0,-12796359.0
102.0,0.0,294.0,625.0,1655,3.0,2004.0,379.0,7.6,2.35,0,24281723.0
148.0,644.0,326.0,1000.0,2566,1.0,1980.0,809.0,7.9,1.85,14000,27200000.0
152.0,541.0,288.0,773.0,2888,2.0,1965.0,575.0,6.8,2.35,251,-3785127.0
127.0,13000.0,940.0,40000.0,56585,1.0,1994.0,13000.0,7.9,1.85,0,-12112543.0
105.0,0.0,4.0,15.0,36,1.0,1995.0,12.0,8.1,1.85,22000,2900000.0
107.0,48.0,940.0,1000.0,4971,1.0,2000.0,957.0,5.3,1.85,650,-11627590.0
138.0,282.0,687.0,21000.0,33433,3.0,2007.0,11000.0,7.5,2.35,0,142000866.0
84.0,8.0,896.0,4000.0,6954,0.0,2007.0,922.0,6.5,2.35,0,5773825.0
154.0,333.0,16000.0,22000.0,61110,3.0,2003.0,20000.0,7.2,2.35,0,16632614.0
130.0,149.0,798.0,1000.0,5101,0.0,2008.0,807.0,6.7,1.85,0,-14290615.0
130.0,91.0,1000.0,5000.0,10247,3.0,2013.0,2000.0,6.0,2.35,44000,-28834579.0
90.0,48.0,376.0,940.0,2465,2.0,1996.0,595.0,5.3,2.35,246,-9908458.0
101.0,308.0,206.0,446.0,966,0.0,2006.0,224.0,6.8,2.35,0,7617947.0
109.0,19.0,568.0,1000.0,4231,1.0,2003.0,762.0,6.9,1.85,0,17277485.0
122.0,1000.0,883.0,2000.0,4738,0.0,2007.0,939.0,8.1,2.35,21000,49273505.0
86.0,7.0,795.0,10000.0,14275,0.0,1998.0,908.0,6.2,1.85,0,-17282242.0
118.0,473.0,963.0,18000.0,22517,0.0,2009.0,1000.0,7.4,2.35,21000,23343413.0
106.0,835.0,363.0,13000.0,14544,1.0,2012.0,826.0,6.6,1.85,10000,-7443292.0
86.0,8.0,357.0,2000.0,3071,0.0,2007.0,424.0,6.9,1.85,307,4768918.0
107.0,0.0,240.0,962.0,1591,3.0,2008.0,266.0,6.8,2.35,0,-23813043.0
175.0,0.0,3000.0,14000.0,28122,1.0,1972.0,10000.0,9.2,1.85,43000,128821952.0
103.0,132.0,844.0,10000.0,12867,0.0,2010.0,882.0,7.2,2.35,33000,-12587955.0
124.0,212.0,576.0,13000.0,16595,0.0,1990.0,982.0,7.1,2.35,0,47541000.0
150.0,610.0,478.0,755.0,2172,4.0,2008.0,643.0,7.4,2.35,0,-553005191.0
138.0,17000.0,163.0,29000.0,29585,0.0,2010.0,223.0,8.1,2.35,53000,47968405.0
84.0,33.0,1000.0,1000.0,5039,0.0,2004.0,1000.0,4.0,2.35,0,-18823678.0
104.0,81.0,612.0,3000.0,5062,0.0,1997.0,643.0,5.4,1.85,2000,-42525888.0
94.0,12.0,183.0,17000.0,17883,0.0,2015.0,523.0,6.7,1.85,26000,42343675.0
98.0,28.0,102.0,372.0,927,0.0,1981.0,262.0,5.0,2.35,346,-10000000.0
110.0,96.0,554.0,887.0,2728,0.0,2010.0,886.0,4.4,2.35,788,-89809438.0
77.0,50.0,537.0,886.0,2682,0.0,2002.0,799.0,5.4,1.85,459,-55263886.0
107.0,58.0,316.0,549.0,1747,5.0,1988.0,439.0,6.8,1.85,0,31726644.0
85.0,84.0,595.0,1000.0,4166,0.0,1998.0,1000.0,5.3,1.85,694,72656464.0
123.0,7.0,692.0,931.0,2912,3.0,2001.0,754.0,6.2,2.35,989,5334024.0
99.0,0.0,186.0,664.0,2010,1.0,1994.0,655.0,5.8,2.35,0,17450000.0
75.0,45.0,0.0,5.0,7,0.0,1997.0,2.0,7.0,1.85,178,-46866.0
80.0,66.0,816.0,2000.0,5628,0.0,2010.0,904.0,6.3,2.35,16000,23583175.0
114.0,31.0,372.0,9000.0,10731,0.0,1998.0,496.0,5.6,1.85,0,-39371991.0
83.0,12.0,690.0,2000.0,5022,5.0,2006.0,826.0,4.2,1.85,494,-23368755.0
110.0,16000.0,581.0,16000.0,18635,1.0,2002.0,1000.0,6.4,2.35,705,-23800483.0
